iso_code,continent,location,date,total_cases,total_deaths
ZAF,Africa,South Africa,2021/01/07,1170590,31809
ZAF,Africa,South Africa,2021/01/08,1192570,32425
ZAF,Africa,South Africa,2021/01/09,1214176,32824
ZAF,Africa,South Africa,2021/01/10,1231597,33163
ZAF,Africa,South Africa,2021/01/11,1246643,33579
ZAF,Africa,South Africa,2021/01/12,1259748,34334
ZAF,Africa,South Africa,2021/01/13,1278303,35140
ZAF,Africa,South Africa,2021/01/14,1296806,35852
ZAF,Africa,South Africa,2021/01/15,1311686,36467
ZAF,Africa,South Africa,2021/01/16,1325659,36851
ZAF,Africa,South Africa,2021/01/17,1337926,37105
ZAF,Africa,South Africa,2021/01/18,1346936,37449
ZAF,Africa,South Africa,2021/01/19,1356716,38288
ZAF,Africa,South Africa,2021/01/20,1369426,38854
ZAF,Africa,South Africa,2021/01/21,1380807,39501
ZAF,Africa,South Africa,2021/01/22,1392568,40076
ZAF,Africa,South Africa,2021/01/23,1404839,40574
ZAF,Africa,South Africa,2021/01/24,1412986,40874
ZAF,Africa,South Africa,2021/01/25,1417537,41117
ZAF,Africa,South Africa,2021/01/26,1423578,41797
ZAF,Africa,South Africa,2021/01/27,1430648,42550
ZAF,Africa,South Africa,2021/01/28,1437798,43105
ZAF,Africa,South Africa,2021/01/29,1443939,43633
ZAF,Africa,South Africa,2021/01/30,1449236,43951
ZAF,Africa,South Africa,2021/01/31,1453761,44164
ZAF,Africa,South Africa,2021/02/01,1456309,44399
ZAF,Africa,South Africa,2021/02/02,1458958,44946
ZAF,Africa,South Africa,2021/02/03,1463016,45344
ZAF,Africa,South Africa,2021/02/04,1466767,45605
ZAF,Africa,South Africa,2021/02/05,1470516,45902
ZAF,Africa,South Africa,2021/02/06,1473700,46180
ZAF,Africa,South Africa,2021/02/07,1476135,46290
ZAF,Africa,South Africa,2021/02/08,1477511,46473
ZAF,Africa,South Africa,2021/02/09,1479253,46869
ZAF,Africa,South Africa,2021/02/10,1482412,47145
ZAF,Africa,South Africa,2021/02/11,1484900,47382
ZAF,Africa,South Africa,2021/02/12,1487681,47670
ZAF,Africa,South Africa,2021/02/13,1490063,47821
ZAF,Africa,South Africa,2021/02/14,1491807,47899
ZAF,Africa,South Africa,2021/02/15,1492909,48094
ZAF,Africa,South Africa,2021/02/16,1494119,48313
ZAF,Africa,South Africa,2021/02/17,1496439,48478
ZAF,Africa,South Africa,2021/02/18,1498766,48708
ZAF,Africa,South Africa,2021/02/19,1500677,48859
ZAF,Africa,South Africa,2021/02/20,1502367,48940
ZAF,Africa,South Africa,2021/02/21,1503796,49053
ZAF,Africa,South Africa,2021/02/22,1504588,49150
ZAF,Africa,South Africa,2021/02/23,1505586,49413
ZAF,Africa,South Africa,2021/02/24,1507448,49523
ZAF,Africa,South Africa,2021/02/25,1509124,49667
ZAF,Africa,South Africa,2021/02/26,1510778,49784
ZAF,Africa,South Africa,2021/02/27,1512225,49941
ZAF,Africa,South Africa,2021/02/28,1513393,49993
ZAF,Africa,South Africa,2021/03/01,1513959,50077
ZAF,Africa,South Africa,2021/03/02,1514815,50271
ZAF,Africa,South Africa,2021/03/03,1516262,50366
ZAF,Africa,South Africa,2021/03/04,1517666,50462
ZAF,Africa,South Africa,2021/03/05,1518979,50566
ZAF,Africa,South Africa,2021/03/06,1520206,50647
ZAF,Africa,South Africa,2021/03/07,1521068,50678
ZAF,Africa,South Africa,2021/03/08,1521706,50803
ZAF,Africa,South Africa,2021/03/09,1522697,50906
ZAF,Africa,South Africa,2021/03/10,1524174,51015
ZAF,Africa,South Africa,2021/03/11,1525648,51110
ZAF,Africa,South Africa,2021/03/12,1526873,51179
ZAF,Africa,South Africa,2021/03/13,1528414,51261
ZAF,Africa,South Africa,2021/03/14,1529420,51326
ZAF,Africa,South Africa,2021/03/15,1530033,51421
ZAF,Africa,South Africa,2021/03/16,1530966,51560
ZAF,Africa,South Africa,2021/03/17,1532497,51634
ZAF,Africa,South Africa,2021/03/18,1533961,51724
ZAF,Africa,South Africa,2021/03/19,1535423,52035
ZAF,Africa,South Africa,2021/03/20,1536801,52082
ZAF,Africa,South Africa,2021/03/21,1537852,52111
ZAF,Africa,South Africa,2021/03/22,1538451,52196
ZAF,Africa,South Africa,2021/03/23,1538961,52251
ZAF,Africa,South Africa,2021/03/24,1540009,52372
ZAF,Africa,South Africa,2021/03/25,1541563,52535
ZAF,Africa,South Africa,2021/03/26,1543079,52602
ZAF,Africa,South Africa,2021/03/27,1544466,52648
ZAF,Africa,South Africa,2021/03/28,1545431,52663
ZAF,Africa,South Africa,2021/03/29,1545979,52710
ZAF,Africa,South Africa,2021/03/30,1546735,52788
ZAF,Africa,South Africa,2021/03/31,1548157,52846
ZAF,Africa,South Africa,2021/04/01,1549451,52897
ZAF,Africa,South Africa,2021/04/02,1550724,52946
ZAF,Africa,South Africa,2021/04/03,1551501,52954
ZAF,Africa,South Africa,2021/04/04,1551964,52987
ZAF,Africa,South Africa,2021/04/05,1552416,52995
ZAF,Africa,South Africa,2021/04/06,1552853,53032
ZAF,Africa,South Africa,2021/04/07,1553609,53111
ZAF,Africa,South Africa,2021/04/08,1554975,53173
ZAF,Africa,South Africa,2021/04/09,1556242,53226
ZAF,Africa,South Africa,2021/04/10,1557527,53256
ZAF,Africa,South Africa,2021/04/11,1558458,53322
ZAF,Africa,South Africa,2021/04/12,1559113,53356
ZAF,Africa,South Africa,2021/04/13,1559960,53423
ZAF,Africa,South Africa,2021/04/14,1561559,53498
ZAF,Africa,South Africa,2021/04/15,1562931,53571
ZAF,Africa,South Africa,2021/04/16,1564355,53663
ZAF,Africa,South Africa,2021/04/17,1565680,53711
ZAF,Africa,South Africa,2021/04/18,1566769,53736
ZAF,Africa,South Africa,2021/04/19,1567513,53757
ZAF,Africa,South Africa,2021/04/20,1568366,53887
ZAF,Africa,South Africa,2021/04/21,1569935,53940
ZAF,Africa,South Africa,2021/04/22,1571348,53995
ZAF,Africa,South Africa,2021/04/23,1572985,54066
ZAF,Africa,South Africa,2021/04/24,1574370,54125
ZAF,Africa,South Africa,2021/04/25,1575471,54148
ZAF,Africa,South Africa,2021/04/26,1576320,54186
ZAF,Africa,South Africa,2021/04/27,1577200,54237
ZAF,Africa,South Africa,2021/04/28,1578450,54285
ZAF,Africa,South Africa,2021/04/29,1579536,54331
ZAF,Africa,South Africa,2021/04/30,1581210,54350
